Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
Albury,13.7,37.9,0,W,52,SE,WNW,4,26,1010.9,1006.7,23.1,36.8,No,No
Albury,16.1,38.9,0,W,57,E,W,6,30,1007,1002.7,25.2,38.4,No,No
Albury,14,28.3,0,W,48,W,WSW,17,24,1011.9,1010.9,17.9,27.6,No,No
Albury,12.5,28.4,0,NE,37,SSE,S,20,9,1017.8,1013.7,17.2,26.6,No,No
Albury,17,30.8,0,NE,37,NNE,E,15,11,1013.4,1008.1,20.2,29.3,No,No
Albury,16.9,32,0,S,31,SSE,N,13,17,1009.9,1006.8,22.8,30,No,No
Albury,17.3,34.7,0,SW,35,SE,WSW,7,15,1014.1,1012.1,24.2,33.2,No,No
Albury,17.2,37.7,0,NNW,35,SE,NW,7,17,1015.7,1010.9,24.3,35.7,No,No
Albury,17.4,43,0,NW,39,SSE,SSW,7,17,1011.6,1006.9,25.6,41.5,No,No
Albury,19.8,32.7,0,WNW,44,W,W,20,28,1008.4,1009.2,27.6,27.1,No,No
Albury,14.9,26.7,0,SW,56,WSW,SW,20,31,1014.1,1012.7,18,25.5,No,No
Albury,10.5,28.4,0,SE,33,SE,SW,19,11,1019.7,1017.4,16,25.8,No,No
Albury,11.3,32.2,0,WNW,28,ENE,SSW,17,15,1019.7,1016.2,20.9,30.5,No,No
Albury,13.9,36.6,0,WNW,39,SSE,NNE,2,15,1015.8,1010.6,22,34.4,No,No
Albury,18.6,39.9,0,NNW,61,SSE,WNW,9,20,1010.1,1004.8,26.8,37.7,No,No
Albury,19.3,38.1,0.8,NNW,61,NE,WSW,15,17,1009.6,1005.9,27.3,36.1,No,No
Albury,24.4,34,0.6,NW,98,N,NNW,26,48,1005.3,997.8,26.1,33.1,No,Yes
Albury,18.8,35.2,6.4,WNW,52,S,NW,6,28,1007.9,1003.9,22.8,33,Yes,No
Albury,20.8,30.6,0,W,54,W,W,30,28,1005.4,1007.6,23.3,29.7,No,No
Albury,14,34.3,0,WSW,24,ESE,SSE,7,13,1016.5,1014.6,21.2,32.1,No,No
Albury,15.7,38.4,0,S,33,SSE,WSW,7,7,1017.7,1014.6,23.4,36.5,No,No
Albury,18.5,38.2,0,NNE,31,SE,NNW,9,17,1017.8,1014.1,25.8,36.2,No,No
Albury,20.4,40.7,0,N,37,E,NNE,7,13,1014.9,1011.6,28.2,39.2,No,No
Albury,21.8,41.5,0,SW,24,ESE,S,6,11,1015.7,1011.8,29,40.1,No,No
Albury,22.3,42.9,0,NNE,28,ESE,SE,9,11,1014.6,1010.2,29.2,41.2,No,No
Albury,22,42.7,0,ESE,48,ESE,SW,4,4,1014.2,1010.5,29.9,42,No,No
Albury,28,43.1,0,SW,83,SE,E,15,9,1012.5,1008.7,32.4,41.9,No,No
Albury,24.4,38.3,0.2,SW,56,NE,NW,19,7,1011.7,1007.4,28.8,37.1,No,No
Albury,21.5,37.7,0,NA,NA,N,NA,13,9,1009.2,1005.7,27.2,36.2,No,No
Albury,21.7,36.9,0,NA,NA,NA,NA,11,11,1008.8,1004.7,25.5,35.2,No,No
Albury,21.5,41.2,0,WSW,35,SSE,S,7,19,1005.9,1002.6,26.5,39.7,No,No
Albury,23.5,42.2,0,W,37,SE,W,6,15,1008,1005,28.7,41.6,No,No
Albury,22.3,44.8,0,NNW,59,SE,NW,9,33,1008.2,1003.8,29.6,43.4,No,No
Albury,28.3,40.2,0,NW,52,N,W,9,22,1007,1006.5,34.5,38.5,No,No
Albury,18.4,31.2,0.4,SE,37,SW,WSW,7,11,1009.3,1007.8,18.7,29.4,No,No
Albury,14.9,27.3,0,SSE,41,SSE,SE,20,13,1011.6,1008.5,17.4,25.8,No,No
Albury,13.5,26.7,0,SSE,46,SSE,E,19,11,1012.8,1011.1,16.7,24.9,No,No
Albury,16.1,21.6,0,SE,46,SSE,NE,11,15,1017,1017.3,17,17.3,No,Yes
Albury,14.6,29,3,SSE,41,SE,SSE,26,24,1023.3,1019.7,18,27.6,Yes,No
Albury,12.4,29.2,0,NE,39,S,NA,7,0,1022.5,1016.4,18.3,28.5,No,No
Albury,13.3,31.3,0,NNE,41,SSE,SSW,7,15,1016.2,1012.8,19.2,29.2,No,No
Albury,17.2,31.1,0,E,35,SE,ESE,17,11,1017.7,1013.8,21.4,29.5,No,No
Albury,12.5,28.8,0,N,31,SSE,ENE,7,11,1017.2,1013.5,18,27,No,No
Albury,18,32,0,NW,31,ENE,SW,4,13,1012.4,1007.5,22.1,30.7,No,No
Albury,16.2,34,0,WSW,48,SE,WSW,4,22,1007.8,1004.5,21,32.7,No,No
Albury,18.7,29.1,0,SSW,41,NNW,SSE,7,17,1010.1,1010.8,21.5,26.8,No,No
Albury,13.7,31.7,0,SSE,28,SSE,S,2,9,1012.5,1010.4,19.3,29.8,No,No
Albury,15.5,33.2,0,NW,31,S,WNW,11,15,1015.6,1012.4,20.9,31.3,No,No
Albury,14.3,34,0,NW,70,SE,NW,6,22,1013,1009.2,20.7,33.4,No,No
Albury,12.9,29.6,0,WNW,46,SW,WNW,7,24,1014,1012.7,18.7,28.6,No,No
Albury,8.9,31.9,0,WNW,43,NA,WSW,0,17,1016.6,1013.4,15,29.3,No,No
Albury,15,32.7,0,ESE,26,ESE,S,15,2,1017.8,1015,20.7,30.5,No,No
Albury,15.4,32.6,0,W,24,NA,S,0,6,1016.2,1012.6,20,30.8,No,No
Albury,16,34.5,0,WSW,44,E,NA,6,NA,1007.5,1004.6,22.2,33.6,No,No
Albury,12.8,30.3,0,W,30,W,WSW,4,13,1010.5,1008.7,17.3,28.1,No,No
Albury,13.2,31.9,0,NNW,35,S,ENE,6,9,1014.1,1011.6,18,29.8,No,No
Albury,18,31.1,0,WNW,52,NE,NNE,15,26,1014.7,1009,23,29.2,No,No
Albury,13.8,22.1,0.2,WNW,57,W,WNW,26,33,1014.5,1013.1,15.6,21.9,No,No
Albury,11.5,22,0,SW,50,WSW,W,19,33,1013.7,1011.8,13.9,21.4,No,No
Albury,7.6,24,0,WSW,30,NA,WNW,0,13,1014.5,1012,12.6,22,No,No
Albury,8.3,27.9,0,W,37,S,W,4,20,1015.2,1012.4,13.3,27,No,No
Albury,11,30.2,0,SSE,24,E,SSE,7,11,1017,1014.7,17.6,28.8,No,No
Albury,13.8,31.8,0,NNE,24,SSE,NE,6,17,1019.7,1015.9,18.6,30.5,No,No
Albury,15.5,32,0,NE,50,ESE,E,2,4,1019.5,1016.2,20.1,30.8,No,Yes
Albury,18.4,30.5,1.2,NE,44,NE,N,15,19,1021.3,1018,21.5,29.6,Yes,No
Albury,20.9,25.7,0,W,37,ENE,S,11,9,1019.5,1018.9,22.2,18.8,No,Yes
Albury,17.1,25.8,5.8,ENE,31,NA,S,0,13,1017.4,1014.7,19,23.8,Yes,Yes
Albury,16.4,27,3,SW,69,E,N,9,22,1012.7,1008,19.9,19.7,Yes,Yes
Albury,10,19.7,11.6,WNW,39,W,NW,11,17,1013.4,1012,12.7,18.3,Yes,No
Albury,8.8,21.9,0,W,39,S,WNW,2,20,1013.3,1011.6,12.2,20.5,No,No
Albury,8.4,25.3,0,WNW,35,SSE,WSW,9,17,1015.6,1013.2,12.1,23.9,No,No
Albury,9.3,28,0,NW,52,SSE,NW,6,11,1017.4,1013.9,14.7,27.2,No,No
Albury,11.3,30.1,0,WSW,24,S,SW,6,7,1016.3,1013.6,14.7,29.3,No,No
Albury,11.5,33.5,0,SSE,22,NE,N,7,7,1016.5,1013.6,17.4,32.6,No,No
Albury,13.8,33.6,0,NNW,28,NA,NNE,0,11,1017,1013.1,18.8,33.5,No,No
Albury,14.6,30,0,NE,37,E,NNE,4,19,1014.8,1012.7,18.1,29,No,No
Albury,14.4,31.6,0,NW,37,NA,WNW,0,24,1013.7,1011.8,18.8,31.4,No,No
Albury,10.8,31.9,0,S,48,SSE,WNW,6,20,1016.5,1014.4,15.4,30.7,No,No
Albury,15.4,22.3,0.4,ENE,30,SSE,SSE,11,9,1017.4,1019.2,18.3,19.6,No,Yes
Albury,13.3,29.8,1.8,WSW,33,NA,WNW,0,20,1019.1,1017.2,16.2,29.2,Yes,No
Albury,10.1,27.6,0,WNW,43,NA,W,0,11,1023,1020.7,16.5,26.8,No,No
Albury,9.1,28.9,0,NNW,24,N,N,2,17,1023.8,1020.6,14,27.7,No,No
Albury,10.4,31.2,0,S,22,NA,SE,0,6,1022.4,1019.1,16,29.9,No,No
Albury,13.4,30.4,0,ENE,22,NA,SE,0,9,1023,1019.5,17.2,29.2,No,No
Albury,12.3,29.9,0,WSW,26,S,SSW,2,13,1023.2,1019.5,17.1,28.6,No,No
Albury,12.2,30.6,0,SE,22,NA,ENE,0,6,1022.6,1019.4,16.6,29.5,No,No
Albury,14.3,32.1,0,NE,28,NA,ENE,0,11,1022.6,1018.4,18.4,30.9,No,Yes
Albury,18.4,28.1,8.6,W,98,E,NNE,7,17,1018.8,1012.9,19,27.4,Yes,Yes
Albury,10.7,21.4,12.6,W,43,NA,WSW,0,13,1019.8,1019.3,13.9,20.3,Yes,No
Albury,7.8,21.7,0,WSW,31,E,NW,6,19,1020.4,1016.5,12.9,21.2,No,No
Albury,8.1,21.4,0,W,35,SSE,WSW,13,19,1021.8,1019.6,13.8,20.9,No,No
Albury,7.5,22.5,0,SE,28,S,S,7,7,1026.7,1023.5,13.3,21.6,No,No
Albury,8.2,24,0,SSE,17,SSE,SSE,7,13,1027.1,1023.4,13.8,23.5,No,No
Albury,8.1,25.7,0,ENE,22,ESE,S,9,13,1024.2,1019.6,15.1,25,No,No
Albury,11.6,26.7,0,W,48,SE,NE,6,11,1021.5,1017.7,16.4,24.3,No,Yes
Albury,13,24.9,8.4,W,46,S,E,6,11,1024.4,1020.3,18,24.4,Yes,Yes
Albury,13.5,24.2,6.2,WSW,20,NA,SE,0,6,1024.1,1020.8,15.4,23.1,Yes,No
Albury,9.9,25.4,0,NNE,19,ENE,SSW,4,7,1023,1018.7,16.1,25,No,No
Albury,12.2,25,0,WNW,30,NA,W,0,15,1016.3,1011.6,16.2,24.6,No,No
Albury,10.7,21.9,0,W,63,NW,W,26,31,1008.2,1009.8,20.5,18.9,No,No
Albury,3.5,20,0,W,31,NA,WNW,0,13,1016.3,1012.8,9.6,19.4,No,No
Albury,6.6,21.6,0,WNW,26,ENE,W,6,11,1018.5,1016.8,12.6,21.6,No,No
Albury,7,23.4,0,W,24,SSE,W,2,17,1022.8,1019.3,12.4,22.9,No,No
Albury,11.2,23.9,0,SE,31,SE,SE,13,15,1022.7,1019.6,18,23.6,No,No
Albury,7.4,22,0,SSE,28,SE,SE,2,7,1023.6,1020,14.1,21.3,No,No
Albury,5.7,21.4,0,ESE,17,ENE,SSE,6,7,1025.2,1020.9,12.2,20.9,No,No
Albury,6.2,22.7,0,ESE,17,NA,SW,0,7,1026,1021.6,11.2,22.3,No,No
Albury,6,22.9,0,NE,33,NA,NE,0,20,1021.3,1015.7,12.9,22.6,No,No
Albury,10.6,16.2,0,WNW,39,ESE,NNE,7,4,1008.9,1002.4,14.9,15.1,No,Yes
Albury,12.9,15.8,20,W,70,WNW,NNW,19,15,1004.8,1000.9,13.3,14.5,Yes,Yes
Albury,8.6,12.9,21,NNW,63,NW,WNW,26,31,1004,1003.3,9.5,11.6,Yes,Yes
Albury,4.5,11.5,3.2,NW,26,N,NNW,9,13,1013.8,1013.5,7.6,9.4,Yes,Yes
Albury,7.6,14.5,4.8,WNW,35,W,W,15,20,1018,1018.3,10.1,14,Yes,No
Albury,5.4,12.2,0,SSE,19,SE,SSE,9,7,1023.1,1020.9,8.2,12.1,No,No
Albury,2.1,16.5,0,SW,19,NA,SW,0,7,1023.4,1021.5,7.9,16.1,No,No
Albury,1.8,17,0,SW,19,NA,WSW,0,7,1026,1023.2,7.2,16.3,No,No
Albury,7.2,19.2,0,SW,22,ENE,W,7,6,1026.9,1024,10.1,19.1,No,No
Albury,4.6,18.9,0,S,15,N,SSE,4,7,1028.7,1025.9,10.6,18.5,No,No
Albury,4.2,19.1,0,W,19,ENE,WSW,6,13,1029.8,1027.3,9.6,18.8,No,No
Albury,5.2,18.8,0,ESE,15,NA,SE,0,7,1031.4,1028.1,10.3,18.4,No,No
Albury,4.1,19.3,0,SW,20,ENE,WNW,6,7,1028.5,1024.6,10,19.2,No,No
Albury,3.2,18.4,0,SW,20,SE,WNW,6,11,1026.2,1023.6,8.3,18.2,No,No
Albury,4.3,19,0,W,15,NA,W,0,9,1028.8,1025.8,11,18.5,No,No
Albury,3.7,20.5,0,W,17,NA,WSW,0,7,1026,1021.8,9.4,20.2,No,No
Albury,5.4,19.5,0,SE,17,NA,SE,0,7,1025.1,1022.3,11.7,19.1,No,No
Albury,4.3,17.7,0,ESE,15,NNW,S,6,7,1025.6,1022.2,8.5,17.7,No,No
Albury,3.6,18.5,0,W,26,ENE,WNW,4,17,1022.3,1018.5,9.1,18,No,No
Albury,3.6,15.1,0,WNW,28,SE,W,4,17,1018.4,1015.7,7.5,14.6,No,No
Albury,6.9,16.3,0,WNW,35,WNW,WNW,17,19,1015.3,1013.1,10.3,15.3,No,No
Albury,10.3,16.6,0,WNW,54,NW,NW,13,19,1015,1011,12.9,15.9,No,Yes
Albury,12.4,16.4,1.8,W,52,W,WSW,22,24,1011.8,1013.4,13,14.5,Yes,No
Albury,3,15.6,0,W,20,E,E,6,9,1022.5,1019.3,7,14.7,No,No
Albury,2.6,19.7,0,E,13,NA,ENE,0,4,1024.7,1021.2,8.8,18.7,No,No
Albury,3.7,19.1,0,SSE,19,NA,SSE,0,11,1023.6,1019.9,7.4,18.9,No,No
Albury,5.1,18.6,0,E,13,SSE,ENE,2,9,1022.8,1020.5,12.4,18,No,No
Albury,4.4,19.8,0,SE,20,NA,SE,0,7,1025.2,1022.3,9.4,19.1,No,No
Albury,4.7,19.8,0,SE,24,S,SE,4,19,1025.2,1021.4,10.1,19.6,No,No
Albury,6.2,22.9,0,E,30,NE,SE,6,9,1022.2,1019.4,11.9,21.7,No,No
Albury,6.7,21.1,0,SE,20,NA,SE,0,11,1025,1022.1,12.5,20.8,No,No
Albury,9.3,20.3,0,NE,31,SE,NE,9,22,1024.6,1019.7,11.6,19.5,No,Yes
Albury,11.6,18.1,4.2,E,19,E,SSE,2,6,1021.4,1019.2,13.6,17.4,Yes,No
Albury,8,16.2,0.8,W,20,NA,WSW,0,11,1021.7,1019.3,10.1,15.6,No,No
Albury,2.6,15.7,0,SSE,13,NA,S,0,2,1023.4,1021.6,7.1,15.3,No,No
Albury,2.2,16.5,0,ESE,33,NA,SE,0,19,1025.6,1024,10.2,15.9,No,No
Albury,2.2,16.8,0,SE,26,NA,SE,0,15,1030.3,1028.5,9.6,16.7,No,No
Albury,1.7,17.1,0,NW,44,NA,SE,0,9,1034.1,1029.9,8,16.8,No,Yes
Albury,8,14.3,1.2,SE,13,NA,NA,0,0,1031.9,1029.2,9.2,14,Yes,Yes
Albury,8.4,13.4,1.4,SE,13,NA,ESE,0,7,1029.3,1026.2,10.6,13.4,Yes,Yes
Albury,10.6,14.3,4.8,SE,13,ENE,SE,6,9,1023.5,1020.4,12.4,13,Yes,Yes
Albury,8.9,17.4,8,ENE,13,NW,E,2,4,1021,1017.5,11.3,16.5,Yes,No
Albury,2.8,16.1,0,W,20,NNE,W,4,11,1017.9,1015.1,7.6,15.6,No,No
Albury,1.7,10.5,0.2,ESE,11,E,NA,4,0,1015.2,1011.1,4.7,10.2,No,Yes
Albury,4.7,11.6,14.4,NNW,30,NNW,NNW,6,17,1007.5,1006.3,10,11.5,Yes,Yes
Albury,9,12,4.6,WNW,33,WNW,WNW,9,26,1009.6,1008.7,10.3,11.4,Yes,Yes
Albury,6.3,8.8,2,W,43,NNW,WNW,13,13,1011.1,1008.3,6.8,7.9,Yes,Yes
Albury,3,10.5,5.6,WNW,37,W,WSW,15,22,1017.6,1018.4,4.9,9.7,Yes,No
Albury,-2,9.6,0,SE,13,NA,ESE,0,6,1025.1,1023,2.2,8.8,No,No
Albury,-1.3,8.2,0,ESE,15,E,SSE,6,6,1025.7,1022.2,1.9,7.9,No,No
Albury,1.8,12.4,0,ENE,28,E,NE,4,15,1018.3,1013,5.9,12.1,No,No
Albury,2,15.8,0,NNE,24,NA,NE,0,11,1011.8,1009.3,6.5,15.5,No,No
Albury,0.5,14.9,0.4,ESE,13,NNE,NA,2,0,1013.9,1012.8,5.4,13.9,No,No
Albury,1.2,17.7,0,SE,17,NA,ESE,0,6,1022.3,1022.2,6.6,15.4,No,No
Albury,0.6,15.9,0,WSW,13,NA,W,0,2,1029.7,1027.7,5.6,14.9,No,No
Albury,0.5,14.7,0,N,11,N,NA,6,0,1031.6,1028.6,4.7,14.5,No,No
Albury,0.5,15.3,0,ESE,13,NE,SE,6,6,1030.8,1027.1,5.4,15.1,No,No
Albury,0.9,17.3,0,NNE,28,NE,NE,4,17,1025.7,1020.6,7,16.7,No,Yes
Albury,7,17,1.6,ENE,46,NW,ENE,4,20,1021.9,1018.6,8.3,16.4,Yes,Yes
Albury,5,14.9,5.6,SE,19,SE,ENE,4,6,1020.7,1018.6,9.1,13.6,Yes,No
Albury,3.9,15.5,0,W,35,ENE,SSE,11,7,1020.2,1016.4,8.3,15.2,No,Yes
Albury,7.7,14.1,6,ESE,41,ESE,SE,7,9,1014.9,1012.7,9.6,13.7,Yes,No
Albury,4.7,12.2,0,NNW,24,ESE,N,2,13,1015.5,1012.7,6.9,11.6,No,Yes
Albury,6.9,13.7,4.4,SE,46,ESE,ESE,7,9,1011.6,1008.1,8.4,13,Yes,No
Albury,8.4,11.9,0,SSE,22,SE,SE,7,6,1007.8,1005.5,10.3,11.3,No,Yes
Albury,9.3,12.3,5.4,W,22,WSW,NNW,9,11,1007.5,1006.6,9.8,12.3,Yes,Yes
Albury,8.2,15.7,3.6,NE,26,NE,NNE,9,15,1011.4,1009.4,10.1,15.6,Yes,Yes
Albury,9.1,16.1,2,NW,72,NE,NE,11,19,1007.6,1001,13.5,15.3,Yes,Yes
Albury,8.3,13.3,8.4,NW,52,N,NW,20,22,1006.5,1005.2,9.5,13.1,Yes,Yes
Albury,8.8,11.6,5,WNW,54,NW,WNW,19,19,1009.4,1006.8,8.8,11.4,Yes,Yes
Albury,7.6,12,7.8,W,61,W,WSW,17,22,1008.6,1009.6,7.8,11.7,Yes,No
Albury,5.7,13.2,0,WNW,39,WNW,WNW,15,24,1016.3,1014.9,7.9,12.6,No,No
Albury,3.4,12.4,0,W,31,W,W,9,15,1019.9,1019,7,12,No,No
Albury,0,12.1,0,ENE,19,NNE,WSW,7,7,1022.4,1020.4,2.3,11.4,No,No
Albury,-1.5,12.5,0,E,19,NA,ENE,0,7,1026,1024.6,2.4,12.4,No,No
Albury,-1.7,13.8,0,E,17,NA,ESE,0,7,1030.4,1028.1,3.3,12.4,No,No
Albury,-0.4,15,0.2,ESE,13,NA,SE,0,7,1032,1028.6,3.8,14.3,No,No
Albury,0.1,13.5,0,E,13,NA,SSE,0,9,1028.7,1023.8,4.8,13.4,No,No
Albury,4.8,13.3,0.6,NE,24,NA,NE,0,13,1020.5,1015.6,8.1,13.2,No,No
Albury,8.1,16.5,0.6,NNW,33,SSE,NNW,7,19,1010.4,1007.7,11.6,15.4,No,No
Albury,5.9,13.1,1,WNW,41,N,NNW,13,11,1007.6,1005.5,9,12.3,No,Yes
Albury,6.9,11,6.8,W,30,N,SSW,9,9,1006.6,1005.8,7.5,10.1,Yes,Yes
Albury,2.9,12.6,1.8,WSW,22,ENE,NA,4,0,1010.5,1009.9,5.9,12.5,Yes,No
Albury,-0.6,13.4,0,WNW,24,NA,WSW,0,9,1015.6,1014.5,3.8,12.8,No,No
Albury,-0.3,14.4,0.2,N,17,NNE,SW,4,6,1022.4,1020.6,4.5,14.2,No,No
Albury,-1,12,0,N,20,NA,N,0,11,1023,1019.5,3.2,11.2,No,No
Albury,3.2,14.1,0.6,NNE,24,ESE,NE,7,11,1021.6,1019.8,7.8,13.5,No,No
Albury,3.6,16.5,0.2,NW,39,NA,N,0,19,1023.1,1018.4,7.1,16.3,No,No
Albury,0.8,17.7,0,N,43,ENE,ENE,4,17,1019.7,1013.4,6.6,17.6,No,No
Albury,6.6,12.3,0,W,44,ENE,NNW,7,20,1009.5,1006.2,11.3,10.2,No,Yes
Albury,6,13.5,9.8,WNW,26,W,W,13,17,1015.1,1018.4,8.5,12.9,Yes,No
Albury,-0.1,12.9,0,NW,22,NA,NNW,0,15,1027.3,1025.4,3.7,11.6,No,No
Albury,-0.3,12.2,0,NE,20,NA,NE,0,9,1026.8,1022.7,2.5,10.8,No,No
Albury,2.1,9.8,0,SSE,13,NA,E,0,2,1018,1013.7,4.4,9.6,No,No
Albury,1.3,8.8,0,N,20,ENE,NNW,6,9,1019.9,1019.9,4.2,7.3,No,Yes
Albury,4.2,12.7,3.8,WNW,31,NW,WNW,11,11,1024,1023.1,8.8,12,Yes,Yes
Albury,8.3,13.2,2.4,WNW,24,NW,WSW,11,9,1026,1025.4,9.3,12.1,Yes,No
Albury,3.3,12.1,0.2,NNW,22,NA,WNW,0,9,1025.8,1022.7,6.5,12,No,Yes
Albury,6.5,14.5,5.2,W,35,W,WSW,19,22,1021.3,1021.5,11.6,12.7,Yes,No
Albury,7.4,13.9,0.2,W,30,NA,WNW,0,15,1026.8,1025.3,8.9,13.3,No,No
Albury,7.5,14.1,0.8,NNW,30,SW,NNW,2,17,1027.9,1024.8,10.5,13.3,No,No
Albury,8.3,13.8,0.8,NNW,37,W,WNW,20,15,1023.1,1022.9,9.9,13.6,No,No
Albury,3.2,14.7,0,SSE,17,NA,ENE,0,4,1021.7,1018.9,5.7,14,No,Yes
Albury,5.7,13.8,5.4,NNE,19,ENE,S,7,7,1022.2,1020.2,8.9,13.6,Yes,No
Albury,5.1,17.1,0.4,N,35,NA,NE,0,19,1021.9,1016.7,8,16.6,No,No
Albury,8,13.9,0.8,WNW,57,WNW,WSW,35,33,1012.8,1015.6,9.8,13.7,No,Yes
Albury,-0.8,12.9,4.2,WNW,24,E,WSW,6,6,1026.4,1023,4.4,12.3,Yes,No
Albury,-1,12.2,0,ESE,15,S,E,2,7,1021.6,1018.5,2,12.1,No,No
Albury,1.9,14.8,0.2,SE,20,SSE,SE,4,11,1018.6,1014.7,5.9,12.6,No,No
Albury,5.9,17.7,0.4,NNE,43,E,NNW,19,22,1009,1008.6,14.8,15.6,No,Yes
Albury,6.9,14.3,4.8,W,24,SSE,NW,6,13,1011.5,1010,9.1,13,Yes,No
Albury,7.7,11.6,0.2,NW,22,NW,N,6,13,1015.7,1015.3,9.4,11.1,No,Yes
Albury,6.8,15.2,1.2,WSW,22,NA,WNW,0,13,1021.1,1019.1,9,14.7,Yes,No
Albury,2.7,17.5,0.2,NNE,24,SE,NE,7,13,1021.2,1016.8,6.7,17,No,Yes
Albury,5.1,15.5,1.6,W,39,NE,ENE,11,11,1012.2,1006.4,11,14.3,Yes,Yes
Albury,4.2,13.6,3.2,WNW,37,W,WNW,20,19,1018.2,1019.7,9.8,12.8,Yes,No
Albury,0.6,15.6,0,WNW,15,NA,S,0,6,1029.8,1027.2,6,14.4,No,No
Albury,1.6,16.4,0,E,17,NE,S,7,7,1027.7,1022.5,5.5,15.2,No,No
Albury,5.5,18.4,0,N,22,ESE,N,6,13,1019.7,1014.3,11.1,17.3,No,No
Albury,7.3,14.8,1,WNW,59,NNE,WSW,26,30,1004,1001.7,13.3,10.1,No,Yes
Albury,0.2,14.1,6.6,NE,26,SE,NNE,9,13,1012,1009.6,5.8,12.9,Yes,Yes
Albury,5.8,18.9,3.8,NNE,26,ENE,NNE,7,11,1011.5,1007.1,10.8,18.2,Yes,Yes
